District/Year,2017,2016,2015,2014,2013,2012,2011,2010
Gurdaspur,75,75,33,57,208,208,208,27
Amritsar,385,385,418,212,184,9,9,76
Kapurthala,27,27,52,46,32,15,15,28
Jalandhar,275,275,300,259,104,82,82,83
SBS Nagar,55,55,52,50,43,27,27,9
Hoshiarpur,124,124,97,51,230,72,52,21
Rupnagar,26,26,12,10,12,13,13,9
Ludhiana,154,154,165,168,53,47,47,53
Ferozepur,2,2,2,2,0,3,3,3
Faridkot,3,3,7,2,0,4,4,0
Sri Muktsar Sahib,7,7,9,2,3,2,0,0
Moga,4,4,3,2,1,0,1,0
Bathinda,27,27,92,15,23,2,2,1
Mansa,4,4,8,4,2,5,5,5
Sangrur,36,36,16,16,90,0,0,5
Patiala,225,225,243,208,167,70,16,93
Fatehgarh Sahib,78,78,78,25,22,7,7,0
Punjab,578,596,465,489,477,258,491,460
